"","year","ageGroup","sex","cause","deaths"
"1",2006,"60 to 64","Male","Asthma",2.8
"3",2012,"75 to 79","Female","Asthma",256.1
"4",2012,"1 to 4","Male","Asthma",790
"5",2009,"65 to 69","Male","Asthma",3.2
"6",2008,"65 to 69","Male","Asthma",148.7
"7",2008,"55 to 59","Male","Asthma",2.2
"10",2010,"1 to 4","Female","Asthma",1098.2
"11",2012,"65 to 69","Male","Asthma",3.1
"12",2005,"60 to 64","Male","Asthma",88.3
"13",2013,"1 to 4","Male","Asthma",741.7
"15",2005,"55 to 59","Female","Asthma",45.5
"16",2008,"45 to 49","Male","Asthma",1.5
"19",2011,"1 to 4","Female","Asthma",1024.9
"20",2013,"5 to 9","Female","Asthma",478.8
"21",2012,"5 to 9","Female","Asthma",496.1
"25",2012,"5 to 9","Male","Asthma",446.9
"28",2012,"55 to 59","Male","Asthma",2.1
"31",2012,"1 to 4","Female","Asthma",958.3
"33",2009,"65 to 69","Female","Asthma",3.6
"34",2011,"70 to 74","Female","Asthma",3.8
"38",2011,"5 to 9","Female","Asthma",516.2
"39",2010,"1 to 4","Male","Asthma",904.7
"42",2005,"45 to 49","Male","Asthma",1.6
"43",2007,"40 to 44","Female","Asthma",2.4
"44",2005,"50 to 54","Female","Asthma",2.7
"46",2012,"65 to 69","Female","Asthma",3.6
"47",2009,"55 to 59","Male","Asthma",2.1
"48",2008,"50 to 54","Female","Asthma",2.7
"50",2008,"65 to 69","Male","Asthma",3.2
"51",2010,"55 to 59","Female","Asthma",3.3
"52",2008,"65 to 69","Female","Asthma",119.7
"56",2011,"50 to 54","Female","Asthma",2.7
"58",2011,"1 to 4","Male","Asthma",840.9
"60",2009,"45 to 49","Female","Asthma",3.5
"65",2008,"65 to 69","Female","Asthma",3.5
"66",2009,"55 to 59","Female","Asthma",3.3
"67",2008,"45 to 49","Female","Asthma",3.5
"68",2011,"50 to 54","Male","Asthma",1.4
"74",2007,"60 to 64","Male","Asthma",2.7
"75",2007,"45 to 49","Female","Asthma",3.5
"81",2006,"45 to 49","Female","Asthma",3.4
"82",2009,"70 to 74","Male","Asthma",3
"86",2009,"60 to 64","Female","Asthma",3.6
"87",2009,"50 to 54","Male","Asthma",1.4
"88",2006,"45 to 49","Male","Asthma",1.5
"90",2011,"5 to 9","Male","Asthma",469.6
"92",2005,"70 to 74","Male","Asthma",3.3
"96",2012,"50 to 54","Female","Asthma",2.7
"97",2012,"45 to 49","Female","Asthma",3.6
"101",2005,"40 to 44","Male","Asthma",1.4
"104",2011,"45 to 49","Female","Asthma",3.6
"107",2006,"35 to 39","Female","Asthma",1.9
"109",2006,"50 to 54","Female","Asthma",2.7
"124",2013,"1 to 4","Female","Asthma",897.7
"125",2010,"5 to 9","Male","Asthma",495.3
"126",2013,"5 to 9","Male","Asthma",428
"127",2004,"45 to 49","Female","Asthma",19.8
"129",2008,"55 to 59","Female","Asthma",3.3
"130",2009,"45 to 49","Male","Asthma",1.5
"134",2005,"35 to 39","Female","Asthma",1.9
"137",2005,"40 to 44","Female","Asthma",2.4
"138",2010,"65 to 69","Female","Asthma",3.6
"139",2009,"50 to 54","Female","Asthma",2.7
"140",2008,"60 to 64","Female","Asthma",3.6
"141",2012,"70 to 74","Male","Asthma",2.9
"142",2012,"50 to 54","Male","Asthma",1.4
"143",2008,"70 to 74","Male","Asthma",3.1
"146",2005,"45 to 49","Female","Asthma",19.3
"147",2006,"65 to 69","Female","Asthma",3.5
"148",2007,"75 to 79","Female","Asthma",3.5
"149",2005,"55 to 59","Male","Asthma",2.3
"151",2007,"65 to 69","Female","Asthma",3.5
"156",2005,"30 to 34","Female","Asthma",1
"157",2006,"60 to 64","Female","Asthma",3.6
"159",2009,"5 to 9","Female","Asthma",561.1
"160",2005,"60 to 64","Male","Asthma",2.8
"162",2008,"75 to 79","Male","Asthma",2.9
"163",2011,"75 to 79","Male","Asthma",2.8
"167",2011,"65 to 69","Male","Asthma",3.1
"169",2006,"50 to 54","Male","Asthma",1.5
"177",2008,"70 to 74","Male","Asthma",205.3
"178",2005,"50 to 54","Male","Asthma",5468.3
"179",2009,"60 to 64","Male","Asthma",12016
"181",2009,"1 to 4","Male","Asthma",965.6
"186",2006,"60 to 64","Female","Asthma",11379
"187",2006,"80 plus","Female","Asthma",3
"189",2005,"65 to 69","Female","Asthma",3.5
"190",2008,"1 to 4","Female","Asthma",1248.4
"191",2009,"10 to 14","Male","Asthma",439.6
"193",2006,"65 to 69","Male","Asthma",3.3
"196",2005,"50 to 54","Male","Asthma",1.6
"201",2012,"70 to 74","Female","Asthma",3.9
"202",2007,"1 to 4","Male","Asthma",1088
"206",2004,"65 to 69","Female","Asthma",124.2
"207",2008,"50 to 54","Male","Asthma",1.5
"209",2009,"60 to 64","Male","Asthma",2.6
"211",2010,"5 to 9","Female","Asthma",537.4
"212",2006,"40 to 44","Female","Asthma",2.4
"213",2006,"40 to 44","Male","Asthma",1.4
"216",2009,"5 to 9","Male","Asthma",518.3
"217",2004,"50 to 54","Male","Asthma",5460.4
"219",2006,"5 to 9","Female","Asthma",1.1
"224",2005,"55 to 59","Female","Asthma",3.4
"225",2006,"55 to 59","Male","Asthma",2.3
"226",2009,"55 to 59","Male","Asthma",9541
"232",2005,"65 to 69","Male","Asthma",3.4
"234",2007,"80 plus","Female","Asthma",2.9
"238",2005,"60 to 64","Female","Asthma",3.6
"242",2004,"50 to 54","Male","Asthma",1.6
"245",2012,"75 to 79","Male","Asthma",2.8
"247",2005,"35 to 39","Male","Asthma",1.3
"248",2011,"55 to 59","Female","Asthma",3.3
"250",2004,"60 to 64","Male","Asthma",92.2
"251",2012,"55 to 59","Female","Asthma",3.3
"252",2011,"55 to 59","Male","Asthma",2.1
"253",2004,"55 to 59","Female","Asthma",47.2
"255",2009,"55 to 59","Female","Asthma",8855.4
"256",2011,"55 to 59","Male","Asthma",9926.7
"259",2006,"50 to 54","Female","Asthma",5319.8
"261",2009,"5 to 9","Female","Asthma",1
"262",2012,"55 to 59","Male","Asthma",10170.8
"265",2007,"50 to 54","Female","Asthma",2.7
"266",2010,"55 to 59","Female","Asthma",8923.7
"267",2012,"10 to 14","Male","Asthma",0.6
"268",2010,"60 to 64","Female","Asthma",11868.7
"269",2007,"50 to 54","Male","Asthma",1.5
"270",2007,"55 to 59","Male","Asthma",2.2
"273",2013,"10 to 14","Male","Asthma",389
"274",2011,"10 to 14","Male","Asthma",409.1
"276",2006,"80 plus","Male","Asthma",2.5
"277",2012,"10 to 14","Male","Asthma",398.6
"278",2008,"70 to 74","Female","Asthma",3.8
"280",2004,"55 to 59","Male","Asthma",2.4
"293",2010,"70 to 74","Male","Asthma",3
"295",2011,"45 to 49","Female","Asthma",5629.7
"297",2004,"40 to 44","Female","Asthma",3010.3
"300",2010,"45 to 49","Female","Asthma",5606.7
"302",2010,"60 to 64","Male","Asthma",12239.3
"303",2013,"10 to 14","Male","Asthma",0.6
"304",2006,"60 to 64","Male","Asthma",12170.6
"305",2011,"55 to 59","Female","Asthma",9011.9
"306",2011,"45 to 49","Male","Asthma",4451.3
"307",2013,"50 to 54","Female","Asthma",5302.7
"308",2011,"50 to 54","Male","Asthma",5194.9
"315",2009,"1 to 4","Female","Asthma",1184.8
"325",2008,"5 to 9","Female","Asthma",573.5
"328",2012,"75 to 79","Male","Asthma",264.5
"329",2008,"60 to 64","Male","Asthma",2.7
"337",2006,"45 to 49","Male","Asthma",4410.9
"346",2012,"45 to 49","Male","Asthma",4548.9
"348",2010,"1 to 4","Male","Asthma",0.7
"349",2011,"50 to 54","Female","Asthma",5355
"350",2009,"60 to 64","Female","Asthma",11746.6
"351",2006,"5 to 9","Male","Asthma",0.9
"353",2005,"80 plus","Male","Asthma",2.5
"362",2009,"70 to 74","Female","Asthma",3.8
"367",2011,"75 to 79","Female","Asthma",259.2
"376",2013,"1 to 4","Male","Asthma",1.4
"378",2010,"25 to 29","Female","Asthma",863.5
"379",2006,"30 to 34","Male","Asthma",1088.6
"381",2009,"45 to 49","Female","Asthma",5553.9
"384",2006,"55 to 59","Male","Asthma",8536.7
"386",2013,"40 to 44","Male","Asthma",3395.9
"390",2006,"1 to 4","Female","Asthma",3.1
"393",2005,"70 to 74","Female","Asthma",3.8
"394",2006,"75 to 79","Female","Asthma",3.5
"401",2007,"80 plus","Male","Asthma",2.4
"404",2011,"75 to 79","Female","Asthma",3.5
"406",2004,"45 to 49","Female","Asthma",3.5
"412",2006,"45 to 49","Female","Asthma",5416.6
"415",2006,"40 to 44","Female","Asthma",2974.4
"417",2009,"25 to 29","Male","Asthma",1450.7
"418",2010,"40 to 44","Male","Asthma",3259.7
"419",2007,"25 to 29","Male","Asthma",1455.1
"420",2011,"35 to 39","Male","Asthma",2819.7
"421",2010,"35 to 39","Female","Asthma",2289.8
"422",2010,"30 to 34","Female","Asthma",1043.9
"423",2004,"40 to 44","Male","Asthma",3192.5
"426",2011,"40 to 44","Male","Asthma",3284.4
"429",2004,"30 to 34","Female","Asthma",1054
"430",2013,"50 to 54","Male","Asthma",5327
"431",2005,"45 to 49","Male","Asthma",4442.5
"433",2006,"55 to 59","Female","Asthma",3.3
"435",2007,"60 to 64","Female","Asthma",3.6
"436",2005,"75 to 79","Female","Asthma",3.5
"440",2006,"70 to 74","Male","Asthma",3.2
"445",2011,"80 plus","Male","Asthma",365.9
"446",2010,"75 to 79","Female","Asthma",3.5
"449",2011,"70 to 74","Male","Asthma",2.9
"450",2008,"10 to 14","Male","Asthma",448.3
"452",2010,"10 to 14","Male","Asthma",424.5
"455",2010,"30 to 34","Male","Asthma",1135.6
"459",2011,"30 to 34","Female","Asthma",1034.1
"460",2012,"25 to 29","Female","Asthma",831.1
"464",2005,"40 to 44","Male","Asthma",3194.9
"465",2012,"40 to 44","Female","Asthma",3038.1
"468",2012,"40 to 44","Male","Asthma",3355.7
"470",2005,"40 to 44","Female","Asthma",2978.2
"471",2006,"35 to 39","Female","Asthma",2283.5
"472",2005,"45 to 49","Female","Asthma",5406.2
"473",2012,"55 to 59","Female","Asthma",9143.4
"476",2006,"75 to 79","Male","Asthma",3
"477",2007,"65 to 69","Male","Asthma",3.2
"484",2008,"80 plus","Female","Asthma",2.9
"486",2012,"80 plus","Male","Asthma",364.6
"489",2010,"75 to 79","Male","Asthma",2.8
"490",2004,"65 to 69","Male","Asthma",168.6
"493",2006,"50 to 54","Male","Asthma",5432.1
"494",2010,"45 to 49","Male","Asthma",4462.5
"495",2012,"35 to 39","Female","Asthma",2280.7
"497",2006,"10 to 14","Female","Asthma",619.6
"498",2006,"5 to 9","Female","Asthma",629.8
"499",2005,"5 to 9","Female","Asthma",676.1
"500",2009,"20 to 24","Male","Asthma",893.2
"502",2012,"30 to 34","Female","Asthma",1020.7
"503",2012,"35 to 39","Male","Asthma",2895
"505",2010,"35 to 39","Male","Asthma",2777.4
"506",2013,"25 to 29","Female","Asthma",819.2
"507",2006,"15 to 19","Female","Asthma",609.8
"508",2004,"1 to 4","Female","Asthma",1703.9
"509",2006,"30 to 34","Female","Asthma",1037.5
"510",2006,"35 to 39","Male","Asthma",2721.3
"511",2007,"40 to 44","Male","Asthma",3192.1
"513",2008,"1 to 4","Male","Asthma",2
"516",2007,"55 to 59","Female","Asthma",3.3
"521",2005,"75 to 79","Male","Asthma",3
"527",2005,"45 to 49","Female","Asthma",3.5
"533",2006,"40 to 44","Male","Asthma",3190.7
"534",2010,"40 to 44","Female","Asthma",3065.6
"535",2006,"15 to 19","Male","Asthma",542.6
"536",2011,"30 to 34","Male","Asthma",1140.7
"538",2007,"5 to 9","Female","Asthma",594.7
"539",2006,"10 to 14","Male","Asthma",482.8
"540",2010,"15 to 19","Male","Asthma",483.6
"542",2010,"20 to 24","Female","Asthma",663.1
"543",2010,"25 to 29","Male","Asthma",1458.2
"546",2005,"5 to 9","Male","Asthma",617.6
"547",2013,"30 to 34","Male","Asthma",1180.2
"548",2008,"15 to 19","Male","Asthma",509.3
"551",2008,"25 to 29","Male","Asthma",1451.6
"553",2009,"5 to 9","Male","Asthma",0.8
"562",2006,"70 to 74","Female","Asthma",3.8
"563",2007,"75 to 79","Male","Asthma",3
"567",2011,"80 plus","Male","Asthma",2.2
"569",2011,"75 to 79","Male","Asthma",265.4
"570",2010,"70 to 74","Female","Asthma",3.8
"571",2012,"70 to 74","Female","Asthma",193.1
"572",2004,"60 to 64","Female","Asthma",81.9
"573",2008,"1 to 4","Male","Asthma",1021
"574",2012,"30 to 34","Male","Asthma",1164.8
"575",2011,"35 to 39","Female","Asthma",2289.7
"576",2009,"20 to 24","Female","Asthma",676.5
"577",2009,"25 to 29","Female","Asthma",872.4
"579",2007,"10 to 14","Male","Asthma",462.9
"580",2011,"15 to 19","Male","Asthma",465.6
"582",2011,"25 to 29","Female","Asthma",848.3
"585",2012,"25 to 29","Male","Asthma",1466.8
"586",2006,"1 to 4","Female","Asthma",1447.7
"587",2005,"1 to 4","Female","Asthma",1555.6
"589",2005,"10 to 14","Male","Asthma",505.2
"592",2008,"25 to 29","Female","Asthma",878.6
"593",2007,"50 to 54","Male","Asthma",5337.5
"594",2010,"50 to 54","Male","Asthma",5184.9
"595",2009,"15 to 19","Male","Asthma",0.8
"607",2004,"50 to 54","Female","Asthma",2.7
"608",2012,"80 plus","Male","Asthma",2.2
"614",2004,"35 to 39","Male","Asthma",1.3
"615",2010,"10 to 14","Female","Asthma",530.3
"616",2007,"5 to 9","Male","Asthma",558.2
"617",2011,"10 to 14","Female","Asthma",513.8
"618",2010,"55 to 59","Male","Asthma",2.1
"619",2008,"5 to 9","Male","Asthma",536.7
"620",2007,"40 to 44","Male","Asthma",1.3
"621",2009,"15 to 19","Male","Asthma",500.4
"622",2009,"15 to 19","Female","Asthma",554.9
"623",2006,"5 to 9","Male","Asthma",580.9
"624",2012,"20 to 24","Female","Asthma",624.1
"625",2010,"20 to 24","Male","Asthma",877.2
"626",2007,"1 to 4","Female","Asthma",1350.4
"627",2012,"20 to 24","Male","Asthma",863.8
"628",2007,"15 to 19","Male","Asthma",522.6
"631",2013,"20 to 24","Female","Asthma",604.8
"632",2006,"20 to 24","Male","Asthma",882.8
"635",2009,"10 to 14","Male","Asthma",0.7
"644",2007,"70 to 74","Male","Asthma",3.1
"649",2010,"80 plus","Female","Asthma",2.9
"653",2011,"65 to 69","Female","Asthma",3.5
"655",2004,"55 to 59","Male","Asthma",49.7
"662",2013,"10 to 14","Female","Asthma",483.7
"663",2007,"10 to 14","Female","Asthma",578.3
"664",2010,"15 to 19","Female","Asthma",540.7
"665",2011,"25 to 29","Male","Asthma",1454
"666",2007,"30 to 34","Male","Asthma",0.7
"667",2013,"15 to 19","Male","Asthma",447.5
"668",2012,"10 to 14","Female","Asthma",497.6
"669",2007,"15 to 19","Female","Asthma",583.6
"670",2013,"25 to 29","Male","Asthma",1471
"671",2005,"1 to 4","Male","Asthma",1238.7
"672",2007,"20 to 24","Female","Asthma",690.7
"675",2004,"45 to 49","Male","Asthma",4485.2
"676",2006,"55 to 59","Female","Asthma",8036.1
"677",2007,"65 to 69","Male","Asthma",16796.3
"678",2009,"10 to 14","Female","Asthma",1
"679",2011,"60 to 64","Male","Asthma",12647.5
"686",2007,"70 to 74","Female","Asthma",3.8
"689",2012,"80 plus","Female","Asthma",443.8
"691",2005,"65 to 69","Male","Asthma",163.3
"692",2006,"65 to 69","Female","Asthma",121.3
"694",2007,"45 to 49","Male","Asthma",1.5
"698",2012,"60 to 64","Female","Asthma",3.6
"699",2004,"45 to 49","Male","Asthma",15.1
"701",2004,"30 to 34","Female","Asthma",1
"703",2009,"10 to 14","Female","Asthma",545.9
"704",2011,"15 to 19","Female","Asthma",521
"705",2006,"1 to 4","Male","Asthma",1159.6
"706",2012,"40 to 44","Female","Asthma",2.6
