,age,Male,Female
1,10 to 14,841989.6,744114.4
2,15 to 19,1681788.6,1690751.1
3,1 to 4,1594530,1872236.1
4,20 to 24,2544831.4,1992292.3
5,25 to 29,2685823.8,1726756.5
6,30 to 34,2714530.8,1522287.9
7,35 to 39,3110692.8,1566254.3
8,40 to 44,3396343,1667256.5
9,45 to 49,4005913.7,2066038.2
10,50 to 54,4917029.3,2638275.4
11,55 to 59,5783139,3528106
12,5 to 9,954187.9,866478.9
13,60 to 64,6431125.1,4590623.5
14,65 to 69,7338677,5920335.5
15,70 to 74,7379719.5,6881226.8
16,75 to 79,6410273.8,6109813.4
17,80 plus,8529529.8,9753434.9
18,Early Neonatal,7449005.2,5844795.6
19,Late Neonatal,1462604.2,1379899.9
20,Post Neonatal,1947732.2,2165699.2
